artist_id,genres,artist_popularity,artist_followers
3IIpbS5XHnLSdXTP4c1YN2,,68,468055
1kFkuPkfE1z3STtqLNK5s1,,34,92992
3gMaNLQm7D9MornNILzdSl,motown,72,4240005
4v1dHYkbhZPWaAtzoZLv7J,,9,34
0dVtlAIS7ELCtZN2r4W23x,,38,287
4WilN7D6oYBujOrgJzMx1Z,,0,3
5V1qsQHdXNm4ZEZHWvFnqQ,k-pop|k-rock,58,1392261
3yKoHgjtyenCOIRaD2Gghu,jazz|bossa nova,69,273684
68HFSFMCZzyRjkkm9bv5Vt,nu jazz|acid jazz|post-rock|jazz fusion,27,60729
1GxkXlMwML1oSg5eLPiAz3,christmas,74,6836690
2yCHwCR4w8pZyoSCyoQQfx,lo-fi|lo-fi beats,36,3532
09hVIj6vWgoCDtT03h8ZCa,jazz rap|east coast hip hop|hip hop,68,2333656
1hj6efFunktwXk8ocvrw5k,,20,267
18eCkyTgJAxzinpbmJnY7p,jazz beats,37,25683
1tlXhSxCYZVXx2ckrIckf3,,15,136
1FvjvACFvko2Z91IvDljrx,jazz rap,57,665664
6ye5C0aCtNApMSefJTzdj1,,10,1898
5KKpBU5eC2tJDzf0wmlRp2,,80,2321098
1dfeR4HaWDbWqFHLkxsg1d,classic rock|rock|glam rock,85,53934314
0hPar6ePAELiu9rYMdvMEo,samba|pagode|mpb,63,1169593
4uKEP0JYfpFtngWlgViewd,memphis rap,61,305181
2KgHaeIdNreTeUWwhfcmlE,lo-fi beats,29,612
1mG23iQeR29Ojhq89D5gbh,,53,415633
5UIjccuGVFJEyilsWmrnLC,jazz beats,2,2
7I4k8lhED0kNnxJgR4BCsS,acid jazz|latin jazz|jazz,32,1385
5wu05jGsVMAFHYMYHqCB9l,jazz|jazz fusion,46,218510
42nEiwAAE2ypWbygM9iyJi,nova mpb,43,45981
4hUmsYcvD8C5zuVSP93jb1,city pop|j-pop,62,595474
2LgpMIlGkiQALH1Hvzqjd6,,5,150
5nH2klYTzn8CNvUv1GOGQO,pop urbaine|french pop|chanson,53,1139069
0TQUgpZqEnfluYEfKQBYB6,french jazz|chanson|variété française|french pop,51,116050
0c4nkBidzl5CZ2pHL5ldXF,,4,48
74s20sgZC7YilIBCAyx87R,,2,63
1TeGd2GZMb7pHDV2cdgSjW,,29,1127
4kOHVYMZUnNasTU8eKJpme,jazz house,40,1568
3ymapzvo0GHTbfdJPYtWxl,,0,1
7fh7bwX9qV60tLxxsp9bTe,art rock|post-punk,45,117397
3zmfs9cQwzJl575W1ZYXeT,bedroom pop|indie pop,74,2202586
7EK1bQADBoqbYXnT4Cqv9w,folk,70,2451140
00FQb4jTyendYWaN8pK0wa,,92,47632340
06zS0fTnfMX9Bg3UTfKbD9,country hip hop,50,105394
21MG3ongZHFbUnXpK8prTg,vietnam indie|v-pop,33,4827
7fBoiBMJriGMdmvOZKYgjr,v-pop,21,2998
6ZRBTMONSlddCATaF9Qlq5,,42,21233
